Time resolution is 1 ps
@time    0ns:in1=0 in2=0 sel=0 out=0
@time   10ns:in1=0 in2=1 sel=1 out=0
@time   20ns:in1=1 in2=1 sel=1 out=1
@time   30ns:in1=1 in2=0 sel=1 out=1
@time   60ns:in1=0 in2=1 sel=0 out=1
@time   70ns:in1=1 in2=1 sel=0 out=1
@time   80ns:in1=1 in2=0 sel=0 out=0
@time   90ns:in1=0 in2=1 sel=0 out=1
@time  100ns:in1=1 in2=1 sel=1 out=1
@time  110ns:in1=1 in2=0 sel=0 out=0
@time  120ns:in1=0 in2=0 sel=1 out=0
@time  130ns:in1=0 in2=1 sel=1 out=0
@time  140ns:in1=1 in2=1 sel=1 out=1
@time  150ns:in1=0 in2=0 sel=1 out=0
@time  160ns:in1=1 in2=1 sel=0 out=1
@time  170ns:in1=0 in2=0 sel=0 out=0
@time  180ns:in1=0 in2=1 sel=0 out=1
@time  190ns:in1=0 in2=1 sel=1 out=0
@time  200ns:in1=0 in2=0 sel=0 out=0
@time  210ns:in1=0 in2=0 sel=1 out=0
@time  220ns:in1=1 in2=1 sel=1 out=1
@time  230ns:in1=1 in2=0 sel=0 out=0
@time  240ns:in1=1 in2=1 sel=1 out=1
@time  250ns:in1=0 in2=0 sel=1 out=0
@time  260ns:in1=1 in2=0 sel=1 out=1
@time  280ns:in1=1 in2=1 sel=0 out=1
@time  300ns:in1=0 in2=0 sel=0 out=0
@time  310ns:in1=1 in2=1 sel=0 out=1
@time  320ns:in1=0 in2=1 sel=1 out=0
@time  330ns:in1=1 in2=1 sel=1 out=1
@time  340ns:in1=0 in2=1 sel=1 out=0
@time  350ns:in1=1 in2=0 sel=0 out=0
@time  360ns:in1=0 in2=0 sel=0 out=0
@time  370ns:in1=0 in2=0 sel=1 out=0
@time  380ns:in1=1 in2=1 sel=1 out=1
@time  390ns:in1=1 in2=0 sel=1 out=1
@time  400ns:in1=1 in2=0 sel=0 out=0
@time  410ns:in1=1 in2=1 sel=0 out=1
@time  420ns:in1=1 in2=1 sel=1 out=1
@time  430ns:in1=1 in2=0 sel=0 out=0
@time  440ns:in1=0 in2=1 sel=0 out=1
@time  450ns:in1=0 in2=0 sel=1 out=0
@time  460ns:in1=1 in2=0 sel=0 out=0
@time  480ns:in1=0 in2=1 sel=0 out=1
@time  500ns:in1=1 in2=1 sel=1 out=1
@time  510ns:in1=1 in2=1 sel=0 out=1
@time  520ns:in1=0 in2=0 sel=1 out=0
@time  540ns:in1=1 in2=0 sel=0 out=0
@time  550ns:in1=0 in2=1 sel=1 out=0
@time  560ns:in1=0 in2=0 sel=0 out=0
@time  570ns:in1=1 in2=1 sel=0 out=1
@time  580ns:in1=0 in2=0 sel=1 out=0
@time  600ns:in1=0 in2=0 sel=0 out=0
@time  610ns:in1=1 in2=0 sel=1 out=1
@time  620ns:in1=1 in2=0 sel=0 out=0
@time  630ns:in1=0 in2=0 sel=1 out=0
@time  640ns:in1=0 in2=0 sel=0 out=0
@time  650ns:in1=0 in2=1 sel=1 out=0
@time  660ns:in1=1 in2=0 sel=1 out=1
@time  670ns:in1=1 in2=1 sel=0 out=1
@time  680ns:in1=0 in2=1 sel=1 out=0
@time  690ns:in1=1 in2=1 sel=1 out=1
@time  700ns:in1=0 in2=1 sel=1 out=0
@time  710ns:in1=0 in2=0 sel=0 out=0
@time  720ns:in1=0 in2=1 sel=1 out=0
@time  730ns:in1=0 in2=0 sel=1 out=0
@time  770ns:in1=1 in2=1 sel=0 out=1
@time  780ns:in1=0 in2=0 sel=1 out=0
@time  800ns:in1=0 in2=0 sel=0 out=0
@time  810ns:in1=0 in2=1 sel=0 out=1
@time  820ns:in1=0 in2=0 sel=1 out=0
@time  830ns:in1=1 in2=0 sel=1 out=1
@time  840ns:in1=1 in2=1 sel=1 out=1
@time  850ns:in1=0 in2=1 sel=1 out=0
@time  860ns:in1=1 in2=0 sel=0 out=0
@time  880ns:in1=1 in2=1 sel=0 out=1
@time  890ns:in1=0 in2=1 sel=0 out=1
@time  910ns:in1=1 in2=1 sel=0 out=1
@time  920ns:in1=1 in2=0 sel=1 out=1
@time  930ns:in1=0 in2=0 sel=1 out=0
@time  940ns:in1=0 in2=0 sel=0 out=0
@time  950ns:in1=1 in2=1 sel=1 out=1
@time  960ns:in1=1 in2=1 sel=0 out=1
@time  970ns:in1=1 in2=1 sel=1 out=1
@time  980ns:in1=0 in2=0 sel=0 out=0
@time 1000ns:in1=1 in2=1 sel=1 out=1
